ID,Severity,Category,Page,Feature,Title,Description,Steps to Reproduce,Expected,Actual,Recommended Fix,Status
"B-01","Critical","Security","Backend - upload to ingestion pipeline","Cost cap","Upload and ingestion bypass the LLM cost cap entirely","upload.py:107 calls only rate_limit.check_and_increment before queuing paid work; upload.py:167-171 fetches the cost warning header AFTER dispatch. ingestion_service.py:172-179 states in-code 'Metering only -- NO cap gate here'. Spend on the embedding path is bounded by request count, not dollars.","1. Sign in as a user whose daily_cost_ledger already exceeds LLM_HARD_CAP_USD (chat is correctly 429d); 2. POST /api/upload with a 25 MB .txt file (exempt from the magic-byte sniff); 3. Upload returns 202 and ingestion embeds the whole document; 4. Repeat until the shared 50/day request counter is exhausted","A user over the hard cap cannot purchase further LLM tokens. The cost cap is documented as the money guard.","The cap gates chat only. Measured against real tiktoken cl100k_base at stride 450: a 25 MB .txt is 4.11M tokens = ~9,100 chunks = ~4.56M embedded tokens per upload. Applying the in-repo rate table (flagged in-code as a placeholder at cost_meter.py:227-230, so treat dollars as indicative and the ratio as the result) that is ~$0.68 for one upload against a $1.00 hard cap. Worst realistic case ~50 uploads = ~$34/user/day, roughly 34x the configured cap.","Call cost_meter.check_cap(db, user_id) next to rate_limit.check_and_increment in upload.py and return the same 429 daily_cost_cap_reached envelope chat uses. This rejects before any blob is written or task queued, so the stranded-document concern does not apply. Separately bound embedding volume per user per day.","Open"
"B-02","Critical","Performance","Backend - process-wide request dispatch","Threadpool isolation","Large ingestions starve the shared 40-slot threadpool including /health","ingestion_service.run is a plain def, so background_tasks.add_task routes it through run_in_threadpool onto the default anyio CapacityLimiter(40), never overridden in main.py. Most route handlers are sync def including health.py:13 and upload.py:67, so they share the same 40-token limiter. Each ingestion holds a thread for ceil(chunks/100) sequential blocking embedding calls - about 91 calls for a 25 MB .txt, at up to 15 s each.","1. Submit 40 concurrent uploads of large text documents across any mix of accounts; 2. All 40 threadpool tokens are held by ingestion threads; 3. Probe GET /health","Background ingestion is isolated from request serving; /health answers regardless of ingestion load","Every sync route queues behind ingestion. render.yaml:10 sets healthCheckPath /health, so a starved probe fails, Render restarts the instance, every in-flight SSE stream for every user dies, and the restart re-enters the same state on retry. Cross-tenant availability denial from one accounts uploads.","Run ingestion off the request threadpool via a dedicated executor with its own bounded CapacityLimiter, or a real queue worker. Minimum stopgap: make health.health async def so liveness cannot be starved, and cap concurrent ingestions per instance.","Open"
"F-01","Critical","Architecture","Backend deploy topology - all endpoints","Concurrency ceiling","Single Uvicorn worker plus 10-connection pool caps the service at 10 concurrent DB-holding requests","entrypoint.sh:4 is a plain exec uvicorn with no --workers and no Gunicorn. render.yaml:5 is plan free with no numInstances or scaling block. config.py:35-36 sets db_pool_size 5 and db_max_overflow 5, wired at db/database.py:37-38, neither overridden in render.yaml. pool_timeout is never set so SQLAlchemys 30s default applies.","1. Deploy per render.yaml; 2. Drive 11+ concurrent requests that each hold a DB transaction - any chat turn, upload, or /api/sessions load; 3. Watch the 11th block for 30 s then 500","Worker count and pool size sized to the instance, with a pool_timeout short enough to fail fast and shed load","1 process x (5+5) = 10 connections for the entire service. Hard ceiling of ~1 chat turn per second, ~86,400 turns/day, roughly 10 simultaneous chatters. The 30s pool_timeout turns overload into 30-second hangs so queue depth compounds instead of shedding.","Paid Render plan with numInstances > 1; uvicorn --workers N driven by a WEB_CONCURRENCY env var; size the pool per worker as floor(pooler_client_limit / (workers x instances)) via the env-tunable config fields; add pool_timeout = 5; confirm and record the Supabase pooler client limit next to the pool math.","Open"
"F-02","Critical","Performance","Upload / ingestion background task","DB connection hold","PDF ingestion holds one of the 10 DB connections for the entire embed pipeline","ingestion_service.run opens a session at db.get(Document, ...) on line 186 and does not commit or roll back until line 233, spanning the blob load, text extraction and N sequential embedding round-trips.","1. Upload 10 large PDFs concurrently (10 different users is enough); 2. Each run() checks out a connection at db.get and holds it; 3. Every other request in the service waits 30 s on pool.connect() then 500s","The blob load, text extraction and embedding round-trips happen with no DB connection held","Measured: a 25 MB .txt yields ~9,100 chunks = ~91 sequential embedding batches. At ~1.5 s per batch that is ~2.3 minutes holding 1 of 10 connections; at the configured embedding_timeout_s of 15.0 the worst case is ~23 minutes. A text-dense PDF extracts less text and lands nearer 11-22 batches (~20-35 s).","Restructure run() to open the DB session three times: a short session to load the Document row; extract and embed with no session held; a short session to insert chunks, merge the keyword index and set status. F-27 atomicity is retained because only the final steps share a transaction. Then move ingestion out of process per F-04.","Open"
"F-03","Critical","Performance","Upload / ingestion background task","Memory bound","A single 25 MB text upload can exhaust a 512 MB instance; ~3 concurrent for a text-dense PDF","The 25 MB gate at upload.py:30 is on file bytes, not extracted text. chunk_text materialises one flat token list plus a parallel page-index list for the whole document. _embed_all accumulates every 768-float vector in out while simultaneously retaining every batchs full response object in pending_meter until the loop ends, so vector data is held roughly twice at peak purely to defer metering. Also reported independently as B-03. Both agents' original chunk estimates (3,300 and 13,900) were wrong; the figure was re-measured with the real encoder.","1. Upload a .txt up to the 25 MB ceiling, or a text-dense PDF whose decompressed text far exceeds its file size; 2. chunk_text materialises the full token list; 3. _embed_all doubles the retained vectors","Peak memory bounded by a per-document limit independent of what the 25 MB file gate admits","Measured: ~9,100 chunks x 768 dims as CPython float objects (24 B each plus an 8 B list pointer) is ~224 MB for embeddings alone, held twice by pending_meter (~449 MB), plus ~180 MB for the flat token and page-index lists, plus the 25 MB blob and the chunk list - about 630 MB before any other allocation, so a SINGLE 25 MB .txt exceeds a 512 MB instance. A 25 MB PDF extracts far less text (~1,100-2,200 chunks) and takes roughly 3 concurrent uploads to reach the same point. Either way the OOM kills every in-flight ingestion and every open SSE stream, and reap_stale_pending then marks the document failed with please re-upload, inviting a repeat.","Add a hard cap on chunks/pages (e.g. MAX_PAGES 300, MAX_CHUNKS 2000) rejected at upload time with a 413-class error; stream _embed_all so each batch is inserted and released before the next is fetched; use float32 arrays or a bulk insert().values() rather than per-chunk ORM objects.","Open"
"B-04","High","Architecture","Backend - cost metering; deploy config","Global spend ceiling","No global spend ceiling: cost control is strictly per-user with no fleet-wide kill switch","db/models.py:168-169 keys daily_cost_ledger on (user_id, date_utc) with no aggregate dimension, and cost_meter.py:204-211 scopes every spend read to one user. No aggregate or fleet-wide query exists anywhere in the repo and render.yaml exposes no global budget env var.","1. Register N accounts (docs/auth/supabase-setup.md:22 records Confirm email ON, which raises the bar but does not cap N - precondition read from the doc, not verified live); 2. Each account spends up to its own LLM_HARD_CAP_USD; 3. Total fleet spend is N x cap","An owner-facing ceiling that stops all LLM spend when the days total crosses a threshold, independent of account count","The only ceiling is per-user. The operator has no server-side stop; the single lever is revoking GEMINI_API_KEY, which is manual and total. Compounds B-01 where the per-user cap is not even a real ceiling on the embedding path.","Add a global daily ledger row (or a SUM over daily_cost_ledger for today, indexed on date_utc) checked alongside the per-user cap, with a GLOBAL_DAILY_CAP_USD env var and documented fail-closed behaviour. Cheap variant: a Settings.llm_kill_switch boolean read on every gate.","Open"
"C-01","High","Bug","Start / continue-topic flow","Session lookup by topic","GET /api/sessions/lookup 500s on any legacy topic-profile blob (strict parser bypass)","sessions.py:361 calls TopicProfile.model_validate_json directly. This is the only production call site of the strict parser; every other read path uses profile_service._parse_profile, which exists precisely for this hazard. The module states the legacy upgrade is permanent, not a transition shim, because seed_from_prior copies raw JSON forward on every resume.","1. Have or resume-inherit a session whose topic_profile_json is a pre-slice-8 blob such as {mastered_concepts: [joins]} or carries a retired key; 2. GET /api/sessions/lookup?topic=<that topic> with a valid JWT; 3. Verified locally against the real contract model - both raise ValidationError under extra=forbid","200 with active_match / ended_match, the same tolerance as GET /api/sessions/{id} and GET /api/profile/{id}","ValidationError escapes the handler. There is no exception handler anywhere in the app, so Starlette returns a bare 500. Because resume copies the blob forward, the failure is sticky per topic lineage and self-propagating - it does not age out.","One line: use the tolerant parser already imported in this module - profile = profile_service.profile_from_row(row).","Open"
"C-02","High","Bug","Reference-file upload","Request body size (nginx)","nginx caps request bodies at the 1 MB default so every real PDF upload 413s on the compose/prod-nginx path","frontend/nginx.conf:34-47 contains no client_max_body_size; nginxs default is 1m. The backend contract is 25 MB (upload.py:30) and the spec advertises it (openapi.yaml:539). No other .conf exists in the repo.","1. docker compose up (or the prod compose stack, same nginx image); 2. POST /api/upload with an owned session_id and any PDF larger than 1 MB such as a typical lecture deck; 3. nginx rejects before proxy_pass","202 Accepted with a document id for anything up to 25 MB; a coded 413 above it","nginx returns its own 413 HTML page. The frontend error path expects a JSON detail.code so the user sees a generic failure, and the backend never records a Document row so nothing appears in the reference-files panel. Upload and the entire RAG feature are broken for realistic files on every nginx-fronted deploy.","Add client_max_body_size 25m inside location /api/ (or at server level) matching MAX_UPLOAD_BYTES. Add a compose smoke that uploads a >1 MB PDF so the two limits cannot drift again - this is exactly what owed gate W-06 would have caught.","Open"
"D-01","High","Accessibility","SessionView - check-question quiz loop","Check question","Check-question result is never announced and :disabled on answer destroys keyboard focus","CheckQuestion.vue:46 applies :disabled=answered to every option button. The verdict at :54 and explanation at :57 are inserted with no aria-live, no role=status and no focus move. The Next button at :72 renders only after answering.","1. Screen-reader user opens a session with an active check question; 2. Tabs to an option button and presses Enter; 3. Waits","The verdict and explanation are announced and focus lands somewhere useful such as the verdict or the Next button","Disabling the focused button removes it from the tab order so document.activeElement falls back to body. Nothing is spoken. The user hears silence and has lost their place; the new Next button must be found by tabbing from the top of the page. The check loop is the products core adaptive mechanic, so this is complete loss of a core workflow for that population.","Wrap verdict and explanation in a container with role=status aria-live=polite aria-atomic=true that is present but empty in the DOM before the answer, and move focus to Next/Done via nextTick. Prefer aria-disabled=true plus a no-op click handler over disabled so focus is not destroyed.","Open"
"D-02","High","Accessibility","Login, Register, Forgot password, Reset password, Settings Account","Error announcement","Auth and change-password error messages are not announced (no role=alert)","Five bare error paragraphs with no live region: LoginView.vue:43, RegisterView.vue:54, ForgotPasswordView.vue:25, ResetPasswordView.vue:40, AccountTab.vue:87. This is an inconsistency not a missing convention - OnboardingView.vue:51, ProfileView.vue:59, AccountTab.vue:39, DiagnosticConsentCard.vue:53 and SessionView.vue:90 all do use role=alert.","1. Screen-reader user opens /login; 2. Enters a wrong password and activates Sign in; 3. Server returns 401 and error is set","The failure reason is announced without the user having to go looking (WCAG 3.3.1, 4.1.3)","A bare p is inserted above the submit button, focus remains on the button, and no live region exists so nothing is spoken. The button label reverting from Signing in to Sign in is the only cue and it is visual. A blind user cannot get past the login screen unaided - total workflow loss with no fallback path.","Add role=alert (or role=status aria-live=assertive) to each of the five error paragraphs, matching OnboardingView.vue:51. Five-line change.","Open"
